criterion,max_depth,min_samples_split,n_estimators,task_id,mse,worker,compute_time,finished_at
squared_error,,2,10,task_0,24.165860723545098,JuledeMacBook-Air.local,0.058,2025-12-13 02:57:44
squared_error,,2,50,task_1,22.49515179887249,JuledeMacBook-Air.local,0.2723,2025-12-13 02:57:44
squared_error,,2,100,task_2,21.488545752341217,JuledeMacBook-Air.local,0.5498,2025-12-13 02:57:45
squared_error,,2,200,task_3,21.419118618160315,JuledeMacBook-Air.local,1.1035,2025-12-13 02:57:46
squared_error,,2,500,task_4,21.443970722733663,JuledeMacBook-Air.local,2.7825,2025-12-13 02:57:49
squared_error,,5,10,task_5,23.122841589420954,JuledeMacBook-Air.local,0.0522,2025-12-13 02:57:49
squared_error,,5,50,task_6,22.484343129759555,JuledeMacBook-Air.local,0.3447,2025-12-13 02:57:49
squared_error,,5,100,task_7,21.703856656964614,JuledeMacBook-Air.local,0.5356,2025-12-13 02:57:50
squared_error,,5,200,task_8,21.590723893432756,JuledeMacBook-Air.local,1.0427,2025-12-13 02:57:51
squared_error,,10,10,task_10,24.473918613776096,JuledeMacBook-Air.local,0.0491,2025-12-13 02:57:51
squared_error,,10,50,task_11,23.436655609809833,JuledeMacBook-Air.local,0.2384,2025-12-13 02:57:51
squared_error,,10,100,task_12,22.067794590345112,JuledeMacBook-Air.local,0.4738,2025-12-13 02:57:51
squared_error,,5,500,task_9,21.66867085128779,JuledeMacBook-Air.local,2.585,2025-12-13 02:57:52
squared_error,,10,200,task_13,21.957258879206712,JuledeMacBook-Air.local,0.9447,2025-12-13 02:57:52
squared_error,3,2,10,task_15,27.39397430333201,JuledeMacBook-Air.local,0.029,2025-12-13 02:57:52
squared_error,3,2,50,task_16,27.164881726290513,JuledeMacBook-Air.local,0.135,2025-12-13 02:57:53
squared_error,3,2,100,task_17,26.098106502724278,JuledeMacBook-Air.local,0.2673,2025-12-13 02:57:53
squared_error,3,2,200,task_18,25.652845003344943,JuledeMacBook-Air.local,0.5296,2025-12-13 02:57:53
squared_error,,10,500,task_14,21.87843535443327,JuledeMacBook-Air.local,2.3533,2025-12-13 02:57:55
squared_error,3,5,10,task_20,27.395190622147112,JuledeMacBook-Air.local,0.0293,2025-12-13 02:57:55
squared_error,3,2,500,task_19,25.66378108323486,JuledeMacBook-Air.local,1.3288,2025-12-13 02:57:55
squared_error,3,5,50,task_21,27.16577367418559,JuledeMacBook-Air.local,0.1359,2025-12-13 02:57:55
squared_error,3,5,100,task_22,26.09714931323665,JuledeMacBook-Air.local,0.2659,2025-12-13 02:57:55
squared_error,3,5,200,task_23,25.638400629293535,JuledeMacBook-Air.local,0.5267,2025-12-13 02:57:55
squared_error,3,10,10,task_25,27.2211544911272,JuledeMacBook-Air.local,0.029,2025-12-13 02:57:55
squared_error,3,10,50,task_26,27.040190096473726,JuledeMacBook-Air.local,0.1338,2025-12-13 02:57:55
squared_error,3,10,100,task_27,26.012994651683556,JuledeMacBook-Air.local,0.2678,2025-12-13 02:57:56
squared_error,3,10,200,task_28,25.51625113345645,JuledeMacBook-Air.local,0.5268,2025-12-13 02:57:56
squared_error,3,5,500,task_24,25.66048760334258,JuledeMacBook-Air.local,1.3229,2025-12-13 02:57:56
squared_error,5,2,10,task_30,24.906329550234265,JuledeMacBook-Air.local,0.0382,2025-12-13 02:57:56
squared_error,5,2,50,task_31,23.193096392978667,JuledeMacBook-Air.local,0.1793,2025-12-13 02:57:57
squared_error,5,2,100,task_32,22.64375939240571,JuledeMacBook-Air.local,0.3554,2025-12-13 02:57:57
squared_error,3,10,500,task_29,25.571161474004747,JuledeMacBook-Air.local,1.315,2025-12-13 02:57:58
squared_error,5,2,200,task_33,22.282610895725714,JuledeMacBook-Air.local,0.7159,2025-12-13 02:57:58
squared_error,5,5,10,task_35,24.225112476620033,JuledeMacBook-Air.local,0.0377,2025-12-13 02:57:58
squared_error,5,5,50,task_36,23.819978882674388,JuledeMacBook-Air.local,0.1787,2025-12-13 02:57:58
squared_error,5,5,100,task_37,23.155640213634925,JuledeMacBook-Air.local,0.3518,2025-12-13 02:57:58
squared_error,5,5,200,task_38,22.576844708246053,JuledeMacBook-Air.local,0.7052,2025-12-13 02:57:59
squared_error,5,2,500,task_34,22.365686197412835,JuledeMacBook-Air.local,1.7562,2025-12-13 02:57:59
squared_error,5,10,10,task_40,25.495997509169364,JuledeMacBook-Air.local,0.0377,2025-12-13 02:57:59
squared_error,5,10,50,task_41,24.081878909512085,JuledeMacBook-Air.local,0.1764,2025-12-13 02:58:00
squared_error,5,10,100,task_42,23.154714587916228,JuledeMacBook-Air.local,0.3506,2025-12-13 02:58:00
squared_error,5,10,200,task_43,22.600214270451925,JuledeMacBook-Air.local,0.6938,2025-12-13 02:58:01
squared_error,5,5,500,task_39,22.62011399188898,JuledeMacBook-Air.local,1.7604,2025-12-13 02:58:01
squared_error,10,2,10,task_45,23.929099948423627,JuledeMacBook-Air.local,0.0549,2025-12-13 02:58:01
squared_error,10,2,50,task_46,22.824806342275778,JuledeMacBook-Air.local,0.2628,2025-12-13 02:58:01
squared_error,10,2,100,task_47,21.754337433008914,JuledeMacBook-Air.local,0.5223,2025-12-13 02:58:02
squared_error,5,10,500,task_44,22.720819550259996,JuledeMacBook-Air.local,1.732,2025-12-13 02:58:02
squared_error,10,2,200,task_48,21.401724405178737,JuledeMacBook-Air.local,1.0402,2025-12-13 02:58:03
squared_error,10,5,10,task_50,23.051419832376546,JuledeMacBook-Air.local,0.0517,2025-12-13 02:58:03
squared_error,10,5,50,task_51,22.562700104768545,JuledeMacBook-Air.local,0.2481,2025-12-13 02:58:03
squared_error,10,5,100,task_52,21.626003691550814,JuledeMacBook-Air.local,0.4917,2025-12-13 02:58:03
squared_error,10,5,200,task_53,21.623559641943302,JuledeMacBook-Air.local,0.9826,2025-12-13 02:58:04
squared_error,10,2,500,task_49,21.613298712134775,JuledeMacBook-Air.local,2.5867,2025-12-13 02:58:05
squared_error,10,10,10,task_55,24.072104810191806,JuledeMacBook-Air.local,0.05,2025-12-13 02:58:05
squared_error,10,10,50,task_56,23.08181143574762,JuledeMacBook-Air.local,0.2334,2025-12-13 02:58:05
squared_error,10,10,100,task_57,21.983221212225242,JuledeMacBook-Air.local,0.454,2025-12-13 02:58:06
squared_error,10,10,200,task_58,21.76890756938156,JuledeMacBook-Air.local,0.9149,2025-12-13 02:58:07
squared_error,10,5,500,task_54,21.681040807267284,JuledeMacBook-Air.local,2.4683,2025-12-13 02:58:07
squared_error,20,2,10,task_60,24.096448633225943,JuledeMacBook-Air.local,0.0593,2025-12-13 02:58:07
squared_error,20,2,50,task_61,22.46115199939257,JuledeMacBook-Air.local,0.2891,2025-12-13 02:58:07
squared_error,20,2,100,task_62,21.469303588540203,JuledeMacBook-Air.local,0.5753,2025-12-13 02:58:08
squared_error,10,10,500,task_59,21.817860572386017,JuledeMacBook-Air.local,2.2976,2025-12-13 02:58:09
squared_error,20,2,200,task_63,21.41048716958197,JuledeMacBook-Air.local,1.1403,2025-12-13 02:58:09
squared_error,20,5,10,task_65,23.238765707117892,JuledeMacBook-Air.local,0.0543,2025-12-13 02:58:09
squared_error,20,5,50,task_66,22.507766622588747,JuledeMacBook-Air.local,0.2637,2025-12-13 02:58:09
squared_error,20,5,100,task_67,21.711909016216616,JuledeMacBook-Air.local,0.5209,2025-12-13 02:58:10
squared_error,20,5,200,task_68,21.58694455259381,JuledeMacBook-Air.local,1.0427,2025-12-13 02:58:11
squared_error,20,2,500,task_64,21.47092326163216,JuledeMacBook-Air.local,2.874,2025-12-13 02:58:12
squared_error,20,10,10,task_70,24.473918613776096,JuledeMacBook-Air.local,0.0551,2025-12-13 02:58:12
squared_error,20,10,50,task_71,23.436655609809833,JuledeMacBook-Air.local,0.2572,2025-12-13 02:58:12
squared_error,20,10,100,task_72,22.067794590345112,JuledeMacBook-Air.local,0.4705,2025-12-13 02:58:13
squared_error,20,5,500,task_69,21.67554977715818,JuledeMacBook-Air.local,2.6381,2025-12-13 02:58:14
squared_error,20,10,200,task_73,21.957258879206712,JuledeMacBook-Air.local,0.9369,2025-12-13 02:58:14
squared_error,20,10,500,task_74,21.878433269957217,JuledeMacBook-Air.local,2.3593,2025-12-13 02:58:16
squared_error,,2,10,task_0,24.165860723545098,JuledeMacBook-Air.local,0.0567,2025-12-13 03:06:22
squared_error,,2,50,task_1,22.49515179887249,JuledeMacBook-Air.local,0.2758,2025-12-13 03:06:23
squared_error,,2,100,task_2,21.488545752341217,JuledeMacBook-Air.local,0.5492,2025-12-13 03:06:23
squared_error,,2,200,task_3,21.419118618160315,JuledeMacBook-Air.local,1.2055,2025-12-13 03:06:24
squared_error,,5,10,task_5,23.122841589420954,JuledeMacBook-Air.local,0.055,2025-12-13 03:06:25
squared_error,,5,50,task_6,22.484343129759555,JuledeMacBook-Air.local,0.2636,2025-12-13 03:06:25
squared_error,,5,100,task_7,21.703856656964614,JuledeMacBook-Air.local,0.5252,2025-12-13 03:06:26
squared_error,,5,200,task_8,21.590723893432756,JuledeMacBook-Air.local,1.0481,2025-12-13 03:06:27
squared_error,,2,500,task_4,21.443970722733663,JuledeMacBook-Air.local,2.852,2025-12-13 03:06:27
squared_error,,10,10,task_10,24.473918613776096,JuledeMacBook-Air.local,0.0489,2025-12-13 03:06:27
squared_error,,10,50,task_11,23.436655609809833,JuledeMacBook-Air.local,0.237,2025-12-13 03:06:27
squared_error,,10,100,task_12,22.067794590345112,JuledeMacBook-Air.local,0.4692,2025-12-13 03:06:28
squared_error,,10,200,task_13,21.957258879206712,JuledeMacBook-Air.local,0.943,2025-12-13 03:06:29
squared_error,,5,500,task_9,21.66867085128779,JuledeMacBook-Air.local,2.6213,2025-12-13 03:06:29
squared_error,3,2,10,task_15,27.39397430333201,JuledeMacBook-Air.local,0.0289,2025-12-13 03:06:29
squared_error,3,2,50,task_16,27.164881726290513,JuledeMacBook-Air.local,0.1345,2025-12-13 03:06:29
squared_error,3,2,100,task_17,26.098106502724278,JuledeMacBook-Air.local,0.2655,2025-12-13 03:06:30
squared_error,3,2,200,task_18,25.652845003344943,JuledeMacBook-Air.local,0.5301,2025-12-13 03:06:30
squared_error,,10,500,task_14,21.87843535443327,JuledeMacBook-Air.local,2.3434,2025-12-13 03:06:31
squared_error,3,5,10,task_20,27.395190622147112,JuledeMacBook-Air.local,0.029,2025-12-13 03:06:31
squared_error,3,5,50,task_21,27.16577367418559,JuledeMacBook-Air.local,0.1345,2025-12-13 03:06:31
squared_error,3,2,500,task_19,25.66378108323486,JuledeMacBook-Air.local,1.317,2025-12-13 03:06:32
squared_error,3,5,100,task_22,26.09714931323665,JuledeMacBook-Air.local,0.264,2025-12-13 03:06:32
squared_error,3,5,200,task_23,25.638400629293535,JuledeMacBook-Air.local,0.53,2025-12-13 03:06:32
squared_error,3,10,10,task_25,27.2211544911272,JuledeMacBook-Air.local,0.0289,2025-12-13 03:06:32
squared_error,3,10,50,task_26,27.040190096473726,JuledeMacBook-Air.local,0.1342,2025-12-13 03:06:32
squared_error,3,10,100,task_27,26.012994651683556,JuledeMacBook-Air.local,0.2667,2025-12-13 03:06:33
squared_error,3,5,500,task_24,25.66048760334258,JuledeMacBook-Air.local,1.3147,2025-12-13 03:06:33
squared_error,3,10,200,task_28,25.51625113345645,JuledeMacBook-Air.local,0.5296,2025-12-13 03:06:33
squared_error,5,2,10,task_30,24.906329550234265,JuledeMacBook-Air.local,0.0384,2025-12-13 03:06:33
squared_error,5,2,50,task_31,23.193096392978667,JuledeMacBook-Air.local,0.1807,2025-12-13 03:06:33
squared_error,5,2,100,task_32,22.64375939240571,JuledeMacBook-Air.local,0.3606,2025-12-13 03:06:34
squared_error,3,10,500,task_29,25.571161474004747,JuledeMacBook-Air.local,1.3126,2025-12-13 03:06:34
squared_error,5,2,200,task_33,22.282610895725714,JuledeMacBook-Air.local,0.7071,2025-12-13 03:06:34
squared_error,5,5,10,task_35,24.225112476620033,JuledeMacBook-Air.local,0.038,2025-12-13 03:06:35
squared_error,5,5,50,task_36,23.819978882674388,JuledeMacBook-Air.local,0.1782,2025-12-13 03:06:35
squared_error,5,5,100,task_37,23.155640213634925,JuledeMacBook-Air.local,0.3534,2025-12-13 03:06:35
squared_error,5,5,200,task_38,22.576844708246053,JuledeMacBook-Air.local,0.7033,2025-12-13 03:06:36
squared_error,5,2,500,task_34,22.365686197412835,JuledeMacBook-Air.local,1.758,2025-12-13 03:06:36
squared_error,5,10,10,task_40,25.495997509169364,JuledeMacBook-Air.local,0.0373,2025-12-13 03:06:36
squared_error,5,10,50,task_41,24.081878909512085,JuledeMacBook-Air.local,0.1762,2025-12-13 03:06:36
squared_error,5,10,100,task_42,23.154714587916228,JuledeMacBook-Air.local,0.3489,2025-12-13 03:06:37
squared_error,5,10,200,task_43,22.600214270451925,JuledeMacBook-Air.local,0.6963,2025-12-13 03:06:37
squared_error,5,5,500,task_39,22.62011399188898,JuledeMacBook-Air.local,1.7598,2025-12-13 03:06:38
squared_error,10,2,10,task_45,23.929099948423627,JuledeMacBook-Air.local,0.0548,2025-12-13 03:06:38
squared_error,10,2,50,task_46,22.824806342275778,JuledeMacBook-Air.local,0.2632,2025-12-13 03:06:38
squared_error,10,2,100,task_47,21.754337433008914,JuledeMacBook-Air.local,0.5231,2025-12-13 03:06:38
squared_error,5,10,500,task_44,22.720819550259996,JuledeMacBook-Air.local,1.7304,2025-12-13 03:06:39
squared_error,10,2,200,task_48,21.401724405178737,JuledeMacBook-Air.local,1.0501,2025-12-13 03:06:39
squared_error,10,5,10,task_50,23.051419832376546,JuledeMacBook-Air.local,0.0523,2025-12-13 03:06:40
squared_error,10,5,50,task_51,22.562700104768545,JuledeMacBook-Air.local,0.2508,2025-12-13 03:06:40
squared_error,10,5,100,task_52,21.626003691550814,JuledeMacBook-Air.local,0.4937,2025-12-13 03:06:40
squared_error,10,5,200,task_53,21.623559641943302,JuledeMacBook-Air.local,0.9893,2025-12-13 03:06:41
squared_error,10,2,500,task_49,21.613298712134775,JuledeMacBook-Air.local,2.5855,2025-12-13 03:06:42
squared_error,10,10,10,task_55,24.072104810191806,JuledeMacBook-Air.local,0.0484,2025-12-13 03:06:42
squared_error,10,10,50,task_56,23.08181143574762,JuledeMacBook-Air.local,0.2307,2025-12-13 03:06:42
squared_error,10,10,100,task_57,21.983221212225242,JuledeMacBook-Air.local,0.4546,2025-12-13 03:06:43
squared_error,10,10,200,task_58,21.76890756938156,JuledeMacBook-Air.local,0.907,2025-12-13 03:06:43
squared_error,10,5,500,task_54,21.681040807267284,JuledeMacBook-Air.local,2.4591,2025-12-13 03:06:44
squared_error,20,2,10,task_60,24.096448633225943,JuledeMacBook-Air.local,0.0598,2025-12-13 03:06:44
squared_error,20,2,50,task_61,22.46115199939257,JuledeMacBook-Air.local,0.2891,2025-12-13 03:06:44
squared_error,20,2,100,task_62,21.469303588540203,JuledeMacBook-Air.local,0.5765,2025-12-13 03:06:45
squared_error,10,10,500,task_59,21.817860572386017,JuledeMacBook-Air.local,2.2673,2025-12-13 03:06:46
squared_error,20,2,200,task_63,21.41048716958197,JuledeMacBook-Air.local,1.1518,2025-12-13 03:06:46
squared_error,20,5,10,task_65,23.238765707117892,JuledeMacBook-Air.local,0.0546,2025-12-13 03:06:46
squared_error,20,5,50,task_66,22.507766622588747,JuledeMacBook-Air.local,0.2656,2025-12-13 03:06:46
squared_error,20,5,100,task_67,21.711909016216616,JuledeMacBook-Air.local,0.5242,2025-12-13 03:06:47
squared_error,20,5,200,task_68,21.58694455259381,JuledeMacBook-Air.local,1.0541,2025-12-13 03:06:48
squared_error,20,2,500,task_64,21.47092326163216,JuledeMacBook-Air.local,2.8352,2025-12-13 03:06:49
squared_error,20,10,10,task_70,24.473918613776096,JuledeMacBook-Air.local,0.0488,2025-12-13 03:06:49
squared_error,20,10,50,task_71,23.436655609809833,JuledeMacBook-Air.local,0.2385,2025-12-13 03:06:49
squared_error,20,10,100,task_72,22.067794590345112,JuledeMacBook-Air.local,0.4679,2025-12-13 03:06:49
squared_error,20,10,200,task_73,21.957258879206712,JuledeMacBook-Air.local,0.937,2025-12-13 03:06:50
squared_error,20,5,500,task_69,21.67554977715818,JuledeMacBook-Air.local,2.6103,2025-12-13 03:06:50
squared_error,20,10,500,task_74,21.878433269957217,JuledeMacBook-Air.local,2.3165,2025-12-13 03:06:53
squared_error,,2,10,task_0,24.165860723545098,JuledeMacBook-Air.local,0.0571,2025-12-13 03:12:37
squared_error,,2,50,task_1,22.49515179887249,JuledeMacBook-Air.local,0.2804,2025-12-13 03:12:37
squared_error,,2,100,task_2,21.488545752341217,JuledeMacBook-Air.local,0.5566,2025-12-13 03:12:38
squared_error,,2,200,task_3,21.419118618160315,JuledeMacBook-Air.local,1.1449,2025-12-13 03:12:39
squared_error,,5,10,task_5,23.122841589420954,JuledeMacBook-Air.local,0.0548,2025-12-13 03:12:39
squared_error,,5,50,task_6,22.484343129759555,JuledeMacBook-Air.local,0.262,2025-12-13 03:12:39
squared_error,,5,100,task_7,21.703856656964614,JuledeMacBook-Air.local,0.5237,2025-12-13 03:12:40
squared_error,,5,200,task_8,21.590723893432756,JuledeMacBook-Air.local,1.0518,2025-12-13 03:12:41
squared_error,,2,500,task_4,21.443970722733663,JuledeMacBook-Air.local,2.8403,2025-12-13 03:12:42
squared_error,,10,10,task_10,24.473918613776096,JuledeMacBook-Air.local,0.0496,2025-12-13 03:12:42
squared_error,,10,50,task_11,23.436655609809833,JuledeMacBook-Air.local,0.236,2025-12-13 03:12:42
squared_error,,10,100,task_12,22.067794590345112,JuledeMacBook-Air.local,0.4676,2025-12-13 03:12:42
squared_error,,10,200,task_13,21.957258879206712,JuledeMacBook-Air.local,0.9413,2025-12-13 03:12:43
squared_error,,5,500,task_9,21.66867085128779,JuledeMacBook-Air.local,2.6087,2025-12-13 03:12:44
squared_error,3,2,10,task_15,27.39397430333201,JuledeMacBook-Air.local,0.0293,2025-12-13 03:12:44
squared_error,3,2,50,task_16,27.164881726290513,JuledeMacBook-Air.local,0.1346,2025-12-13 03:12:44
squared_error,3,2,100,task_17,26.098106502724278,JuledeMacBook-Air.local,0.265,2025-12-13 03:12:44
squared_error,3,2,200,task_18,25.652845003344943,JuledeMacBook-Air.local,0.5324,2025-12-13 03:12:45
squared_error,,10,500,task_14,21.87843535443327,JuledeMacBook-Air.local,2.3806,2025-12-13 03:12:46
squared_error,3,5,10,task_20,27.395190622147112,JuledeMacBook-Air.local,0.0289,2025-12-13 03:12:46
squared_error,3,5,50,task_21,27.16577367418559,JuledeMacBook-Air.local,0.1339,2025-12-13 03:12:46
squared_error,3,2,500,task_19,25.66378108323486,JuledeMacBook-Air.local,1.369,2025-12-13 03:12:46
squared_error,3,5,100,task_22,26.09714931323665,JuledeMacBook-Air.local,0.288,2025-12-13 03:12:46
squared_error,3,5,200,task_23,25.638400629293535,JuledeMacBook-Air.local,0.5329,2025-12-13 03:12:47
squared_error,3,10,10,task_25,27.2211544911272,JuledeMacBook-Air.local,0.029,2025-12-13 03:12:47
squared_error,3,10,50,task_26,27.040190096473726,JuledeMacBook-Air.local,0.135,2025-12-13 03:12:47
squared_error,3,10,100,task_27,26.012994651683556,JuledeMacBook-Air.local,0.2667,2025-12-13 03:12:47
squared_error,3,5,500,task_24,25.66048760334258,JuledeMacBook-Air.local,1.3111,2025-12-13 03:12:47
squared_error,3,10,200,task_28,25.51625113345645,JuledeMacBook-Air.local,0.5281,2025-12-13 03:12:48
squared_error,5,2,10,task_30,24.906329550234265,JuledeMacBook-Air.local,0.0382,2025-12-13 03:12:48
squared_error,5,2,50,task_31,23.193096392978667,JuledeMacBook-Air.local,0.1796,2025-12-13 03:12:48
squared_error,5,2,100,task_32,22.64375939240571,JuledeMacBook-Air.local,0.3544,2025-12-13 03:12:48
squared_error,3,10,500,task_29,25.571161474004747,JuledeMacBook-Air.local,1.3096,2025-12-13 03:12:49
squared_error,5,2,200,task_33,22.282610895725714,JuledeMacBook-Air.local,0.7064,2025-12-13 03:12:49
squared_error,5,5,10,task_35,24.225112476620033,JuledeMacBook-Air.local,0.0382,2025-12-13 03:12:49
squared_error,5,5,50,task_36,23.819978882674388,JuledeMacBook-Air.local,0.1788,2025-12-13 03:12:49
squared_error,5,5,100,task_37,23.155640213634925,JuledeMacBook-Air.local,0.354,2025-12-13 03:12:49
squared_error,5,5,200,task_38,22.576844708246053,JuledeMacBook-Air.local,0.7036,2025-12-13 03:12:50
squared_error,5,2,500,task_34,22.365686197412835,JuledeMacBook-Air.local,1.7543,2025-12-13 03:12:51
squared_error,5,10,10,task_40,25.495997509169364,JuledeMacBook-Air.local,0.0372,2025-12-13 03:12:51
squared_error,5,10,50,task_41,24.081878909512085,JuledeMacBook-Air.local,0.1751,2025-12-13 03:12:51
squared_error,5,10,100,task_42,23.154714587916228,JuledeMacBook-Air.local,0.3471,2025-12-13 03:12:51
squared_error,5,10,200,task_43,22.600214270451925,JuledeMacBook-Air.local,0.6919,2025-12-13 03:12:52
squared_error,5,5,500,task_39,22.62011399188898,JuledeMacBook-Air.local,1.7558,2025-12-13 03:12:52
squared_error,10,2,10,task_45,23.929099948423627,JuledeMacBook-Air.local,0.0547,2025-12-13 03:12:52
squared_error,10,2,50,task_46,22.824806342275778,JuledeMacBook-Air.local,0.2628,2025-12-13 03:12:52
squared_error,10,2,100,task_47,21.754337433008914,JuledeMacBook-Air.local,0.518,2025-12-13 03:12:53
squared_error,5,10,500,task_44,22.720819550259996,JuledeMacBook-Air.local,1.7303,2025-12-13 03:12:54
squared_error,10,2,200,task_48,21.401724405178737,JuledeMacBook-Air.local,1.0417,2025-12-13 03:12:54
squared_error,10,5,10,task_50,23.051419832376546,JuledeMacBook-Air.local,0.052,2025-12-13 03:12:54
squared_error,10,5,50,task_51,22.562700104768545,JuledeMacBook-Air.local,0.2485,2025-12-13 03:12:54
squared_error,10,5,100,task_52,21.626003691550814,JuledeMacBook-Air.local,0.4966,2025-12-13 03:12:55
squared_error,10,5,200,task_53,21.623559641943302,JuledeMacBook-Air.local,0.9873,2025-12-13 03:12:56
squared_error,10,2,500,task_49,21.613298712134775,JuledeMacBook-Air.local,2.5822,2025-12-13 03:12:56
squared_error,10,10,10,task_55,24.072104810191806,JuledeMacBook-Air.local,0.0481,2025-12-13 03:12:56
squared_error,10,10,50,task_56,23.08181143574762,JuledeMacBook-Air.local,0.2287,2025-12-13 03:12:56
squared_error,10,10,100,task_57,21.983221212225242,JuledeMacBook-Air.local,0.4537,2025-12-13 03:12:57
squared_error,10,10,200,task_58,21.76890756938156,JuledeMacBook-Air.local,0.9044,2025-12-13 03:12:58
squared_error,10,5,500,task_54,21.681040807267284,JuledeMacBook-Air.local,2.4661,2025-12-13 03:12:58
squared_error,20,2,10,task_60,24.096448633225943,JuledeMacBook-Air.local,0.059,2025-12-13 03:12:58
squared_error,20,2,50,task_61,22.46115199939257,JuledeMacBook-Air.local,0.2868,2025-12-13 03:12:59
squared_error,20,2,100,task_62,21.469303588540203,JuledeMacBook-Air.local,0.571,2025-12-13 03:12:59
squared_error,10,10,500,task_59,21.817860572386017,JuledeMacBook-Air.local,2.2636,2025-12-13 03:13:00
squared_error,20,2,200,task_63,21.41048716958197,JuledeMacBook-Air.local,1.1452,2025-12-13 03:13:00
squared_error,20,5,10,task_65,23.238765707117892,JuledeMacBook-Air.local,0.0542,2025-12-13 03:13:00
squared_error,20,5,50,task_66,22.507766622588747,JuledeMacBook-Air.local,0.2632,2025-12-13 03:13:01
squared_error,20,5,100,task_67,21.711909016216616,JuledeMacBook-Air.local,0.522,2025-12-13 03:13:01
squared_error,20,5,200,task_68,21.58694455259381,JuledeMacBook-Air.local,1.051,2025-12-13 03:13:02
squared_error,20,2,500,task_64,21.47092326163216,JuledeMacBook-Air.local,2.8475,2025-12-13 03:13:03
squared_error,20,10,10,task_70,24.473918613776096,JuledeMacBook-Air.local,0.0494,2025-12-13 03:13:03
squared_error,20,10,50,task_71,23.436655609809833,JuledeMacBook-Air.local,0.2384,2025-12-13 03:13:03
squared_error,20,10,100,task_72,22.067794590345112,JuledeMacBook-Air.local,0.4678,2025-12-13 03:13:04
squared_error,20,10,200,task_73,21.957258879206712,JuledeMacBook-Air.local,0.936,2025-12-13 03:13:05
squared_error,20,5,500,task_69,21.67554977715818,JuledeMacBook-Air.local,2.6211,2025-12-13 03:13:05
squared_error,20,10,500,task_74,21.878433269957217,JuledeMacBook-Air.local,2.396,2025-12-13 03:13:07
